code,name,zone,division_name,lat,long,station_km,elevation_m,is_junction,has_crew_lobby,is_banking_station
HWH,HOWRAH JN,SER,KGP,22.58395755,88.34212964,0,12,TRUE,TRUE,FALSE
TPKR,TIKIAPARA,SER,KGP,22.5988413,88.3246185,2.668,6,FALSE,FALSE,FALSE
DSNR,DASNAGAR,SER,KGP,22.59820636,88.30768411,4.41,7,FALSE,FALSE,FALSE
RMJ,RAMRAJATALA,SER,KGP,22.58921661,88.29665522,6.052,7,FALSE,FALSE,FALSE
SRC,SANTRAGACHI JN,SER,KGP,22.58379297,88.28358845,7.446,6,TRUE,TRUE,FALSE
MRGM,MOURIGRAM,SER,KGP,22.58026376,88.25600521,10.517,5,FALSE,FALSE,FALSE
ADL,ANDUL,SER,KGP,22.5757392,88.24015693,12.274,5,TRUE,TRUE,FALSE
SEL,SANKRAIL,SER,KGP,22.56205085,88.20936663,15.944,5,FALSE,FALSE,FALSE
ABB,ABADA,SER,KGP,22.54817586,88.19965907,17.209,7,FALSE,FALSE,FALSE
NALR,NALPUR,SER,KGP,22.52986453,88.1865131,20.184,5,FALSE,FALSE,FALSE
BVA,BAURIA,SER,KGP,22.50301244,88.16315391,24.072,6,FALSE,FALSE,FALSE
CGA,CHENGAIL,SER,KGP,22.48704605,88.13924645,27.213,8,FALSE,FALSE,FALSE
FLR,FULESWAR,SER,KGP,22.47737258,88.11537243,29.793,6,FALSE,FALSE,FALSE
ULB,ULUBERIA,SER,KGP,22.47251716,88.09386665,32.146,9,FALSE,FALSE,FALSE
BSBP,BIRSHIBPUR,SER,KGP,22.47395807,88.05397475,36.262,8,FALSE,FALSE,FALSE
KGY,KULGACHIA,SER,KGP,22.47255839,88.02057275,39.755,5,FALSE,FALSE,FALSE
BZN,BAGNAN,SER,KGP,22.46258005,87.96983064,45.173,8,FALSE,FALSE,FALSE
GGTA,GHORAGHATA,SER,KGP,22.45822804,87.9437927,47.837,8,FALSE,FALSE,FALSE
DTE,DEULTI,SER,KGP,22.45327038,87.91470682,50.953,10,FALSE,FALSE,FALSE
QGT,KOLAGHAT,SER,KGP,22.43532954,87.88103114,54.977,11,FALSE,FALSE,FALSE
MCA,MECHEDA,SER,KGP,22.41494939,87.85849285,58.409,5,FALSE,FALSE,FALSE
NDGJ,NANDAIGAJAN,SER,KGP,22.40403952,87.83279724,61.21,6,FALSE,FALSE,FALSE
BOP,BHOGPUR,SER,KGP,22.40194659,87.80953712,63.705,7,FALSE,FALSE,FALSE
NPMR,NARAYANPAKURIA MURAIL,SER,KGP,22.39974506,87.77414265,67.346,5,FALSE,FALSE,FALSE
